,dst_benign_success,name
0,1.0,transferability_tf_inception_v3totf_inception_v3_SI_DI_TI_MIFGSM
1,0.926,transferability_tf_inception_v3totf_inception_v4_SI_DI_TI_MIFGSM
2,0.889,transferability_tf_inception_v3totf_resnet_v2_50_SI_DI_TI_MIFGSM
3,0.866,transferability_tf_inception_v3totf_resnet_v2_152_SI_DI_TI_MIFGSM
4,0.907,transferability_tf_inception_v3totf_inc_res_v2_SI_DI_TI_MIFGSM
5,0.885,transferability_tf_inception_v3totf_resnet_v2_101_SI_DI_TI_MIFGSM
6,0.816,transferability_tf_inception_v3totf_adv_inception_v3_SI_DI_TI_MIFGSM
7,0.808,transferability_tf_inception_v3totf_ens3_adv_inc_v3_SI_DI_TI_MIFGSM
8,0.776,transferability_tf_inception_v3totf_ens4_adv_inc_v3_SI_DI_TI_MIFGSM
9,0.632,transferability_tf_inception_v3totf_ens_adv_inc_res_v2_SI_DI_TI_MIFGSM
