,dst_benign_success,name
0,1.0,transferability_tf_inception_v3totf_inception_v3_ultimate-combo-gen
1,0.993,transferability_tf_inception_v3totf_inception_v4_ultimate-combo-gen
2,0.97,transferability_tf_inception_v3totf_resnet_v2_50_ultimate-combo-gen
3,0.962,transferability_tf_inception_v3totf_resnet_v2_152_ultimate-combo-gen
4,0.985,transferability_tf_inception_v3totf_inc_res_v2_ultimate-combo-gen
5,0.973,transferability_tf_inception_v3totf_resnet_v2_101_ultimate-combo-gen
6,0.961,transferability_tf_inception_v3totf_adv_inception_v3_ultimate-combo-gen
7,0.955,transferability_tf_inception_v3totf_ens3_adv_inc_v3_ultimate-combo-gen
8,0.95,transferability_tf_inception_v3totf_ens4_adv_inc_v3_ultimate-combo-gen
9,0.872,transferability_tf_inception_v3totf_ens_adv_inc_res_v2_ultimate-combo-gen
10,0.987,transferability_tf_inception_v4totf_inception_v3_ultimate-combo-gen
11,1.0,transferability_tf_inception_v4totf_inception_v4_ultimate-combo-gen
12,0.964,transferability_tf_inception_v4totf_resnet_v2_50_ultimate-combo-gen
13,0.958,transferability_tf_inception_v4totf_resnet_v2_152_ultimate-combo-gen
14,0.985,transferability_tf_inception_v4totf_inc_res_v2_ultimate-combo-gen
15,0.96,transferability_tf_inception_v4totf_resnet_v2_101_ultimate-combo-gen
16,0.944,transferability_tf_inception_v4totf_adv_inception_v3_ultimate-combo-gen
17,0.951,transferability_tf_inception_v4totf_ens3_adv_inc_v3_ultimate-combo-gen
18,0.948,transferability_tf_inception_v4totf_ens4_adv_inc_v3_ultimate-combo-gen
19,0.894,transferability_tf_inception_v4totf_ens_adv_inc_res_v2_ultimate-combo-gen
